airline_sentiment,text
0,"@VirginAmerica Is it me, or is your website down?  BTW, your new website isn't a great user experience.  Time for another redesign."
0,@VirginAmerica I can't check in or add a bag. Your website isn't working. I've tried both desktop and mobile http://t.co/AvyqdMpi1Y
0,@VirginAmerica - Let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin? #uncomfortable
0,@VirginAmerica why must a traveler miss a flight to Late Flight check a bag?  I missed my morning appointments and you lost my business. #sfo2lax
0,@virginamerica how's a direct flight FLL-&gt
1,"@VirginAmerica - amazing customer  service, again! 💕💕 RaeAnn in SF - she's the best! #customerservice #virginamerica #flying"
1,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/B2Xi4YG5T8 #CheapFlights #FareCompare"
1,@VirginAmerica come back to #PHL already. We need you to take us out of this horrible cold. #pleasecomeback http://t.co/gLXFwP6nQH
1,@VirginAmerica your beautiful front-end design is down right now
2,"@VirginAmerica Do you provide complimentary upgrades to first class, if there are available seats?"
1,@VirginAmerica completely awesome experience last month BOS-LAS nonstop. Thanks for such an awesome flight and depart time. #VAbeatsJblue
2,@VirginAmerica is flight 882 Cancelled Flightled and what do I do if it is?
0,@VirginAmerica you are failing your customers because your check in process does not link to TSA pre-check.
0,@VirginAmerica @FiDiFamilies us too! Terrible airline! Just gave us a hotel hotline number and said sorry
2,@VirginAmerica has flight number 276 from SFO to Cabo San Lucas arrived yet?
0,@VirginAmerica I need to register a service dog for a first class ticket from SFO &gt
2,@VirginAmerica Can you find us a flt out of LAX that is sooner than midnight on Monday? That would be great customer service 😃
0,@VirginAmerica please provide status for flight 769.  I cant imagine it's on time as the Web indicates  dude to weather here and/or Dallas
1,Always have it together!!! You're welcome! RT @VirginAmerica: @jessicajaymes You're so welcome.
0,.@VirginAmerica I don't understand why you need a DM to give me an answer on if you have a damaged luggage policy.
2,@VirginAmerica is your website ever coming back online?
2,@VirginAmerica Is flight 0769 out of LGA to DFW on time?
2,@VirginAmerica my drivers license is expired by a little over a month. Can I fly Friday morning using my expired license?
0,"@VirginAmerica got a flight (we were told) for 4:50 today..,checked my email and its for 4;50 TOMORROW. This is unacceptable."
0,@VirginAmerica I'm disappointed that the agent at the designated silver status check in line @Dulles_Airport closed to assist all pasengers
2,@VirginAmerica Plans to Include Austin to its Dallas Route - TopNews Arab #Emirates http://t.co/aqZWecOkk2
2,@VirginAmerica to jump into the Dallas-Austin market - @Dallas_News http://t.co/EwwGi97gdx
2,"@VirginAmerica Beats EPS Views, Takes On #SouthwestAir VA LUV - Investor's Business Daily http://t.co/FLwmGDAHxu"
2,@VirginAmerica Lister to my show my on Monday 1230 130
1,@VirginAmerica Thank you for the follow
2,@VirginAmerica @TTINAC11 I DM you
2,@VirginAmerica can you please have flights in  SJC ? I have no choice but to fly Southwest to Vegas 😩😭
0,@VirginAmerica Flight from BOS &gt
1,😎 RT @VirginAmerica: You’ve met your match. Got status on another airline? Upgrade (+restr): http://t.co/RHKaMx9VF5. http://t.co/PYalebgkJt
1,@VirginAmerica Only way to fly! #Elevate #Gold
2,@VirginAmerica If only you guys had flights from CMH.
0,"@VirginAmerica a lot of ""apologies"" being thrown out to customers from what I can see.Very sad. Thanks for nothing. Worst airline ever."
0,@VirginAmerica  for all my flight stuff wrong and did nothing about it. Had #worst #flight ever
2,“@VirginAmerica:You've met your match.Got status on another airline? Upgrade : http://t.co/H952rDKTqy” @asarco_ES_ar ? 🙉
0,@VirginAmerica Just DM'd. Same issue persisting.
0,@VirginAmerica Because we never rec'd Cancelled Flightlation notice we were left w no options to fly out of PS. Driving to LA for a red eye Mon w kids
0,@VirginAmerica You have any flights flying into Boston tomorrow? I need to be home and you Cancelled Flightled my flight and didn't do anything
0,@VirginAmerica you stink. Flight Cancelled Flighted from PSP to JFK and no notification or ability to rebook #disappointed.  #expected better
1,@VirginAmerica my goodness your people @love field are amazing under pressure ❤️from Texas #beatstheothers in crisis Please fly me to NY
2,@VirginAmerica can you please get me to the new york area before monday afternoon
0,@VirginAmerica why Cancelled Flight flights today? No precipitation to be scared of!  ❄️❄️❄️
2,"@VirginAmerica on iPad and iPhone, clicking the CHECKIN link in the email I received at 24hrs before flight"
0,"@VirginAmerica your mobile site is broken, shows 
""{{header.elevateUser.numOfPointsAvailable || '0' | number}} Points"", won't let me checkin"
0,@VirginAmerica I was so looking forward to my first flight with you today but it was Cancelled Flightled along with the subsequent one ...
0,@VirginAmerica hold times at call center are a bit much
1,"@VirginAmerica, the only airline based in Silicon Valley! #disruption #FCmostinnovative #incubator  @FastCompany's http://t.co/wU3LbCNcr9"
1,@VirginAmerica Very nicely done. 👏
1,@VirginAmerica I’m looking forward to watching the Oscars on my flight home tomorrow. I might even get something bubbly to drink! 
0,"@VirginAmerica - the passenger in 7D, Flt 338 that assaulted me shouldn't have flown. I trust he's banned. Crew filed report to @FAANews"
2,"@VirginAmerica beats expectations, shares take off - Santa Cruz Sentinel http://t.co/qm9dQbai6G"
0,@VirginAmerica requested window seat and confirmed window but got stuck in middle seat. Not a good way to treat silver member😒
1,@VirginAmerica thanks for gate checking my baggage on your full flight dfw-lax 883 and giving me early boarding too #sweet
1,@VirginAmerica cutest salt and pepper shaker ever. Just when I think you guys can't get any better you just do! http://t.co/vC6Keulg2J
2,@VirginAmerica Need to start flying to @KCIAirport .  😊😀😃😄
2,@VirginAmerica Results Handily Exceed Forecasts - @NYTimes http://t.co/gonmRwEM6I
2,@VirginAmerica achieves a second year of profitability despite revenue pressure ... - @CAPA_Aviation http://t.co/zSuZTNAIJq
2,@VirginAmerica @madbee95 check the website before you go to the airport!
1,@VirginAmerica loved it. Can't wait for Monday's return flight... Mostly just to watch the inflight safety video again. #sorrynotsorry
0,"@VirginAmerica lost my luggage 4 days ago on flight VX 112 from LAX to IAD &amp; I'm calling every day, no response.Please give me back my stuff"
0,@VirginAmerica The Flight Booking Problems section of your website seems to be broken on Chrome. Might wanna look into that.
1,@VirginAmerica happy to spend the day together. Let's do this!
0,@virginamerica Looks like a broken link for your assets https://t.co/OArDjjGrrD
2,@VirginAmerica are you ready!? Let's say it together.. 'Noooo turbulence today!' 😘
0,"@VirginAmerica can't check in, your site looks like this every time it loads http://t.co/kAcY2AwDbW"
2,@VirginAmerica can u help this 👸 @FreyaBevan_Fund needs urgent treatment in🇺🇸2y old battling cancer could u help with flights 💗#freyasfund
2,@VirginAmerica help. I was On  Flight  27 from JKF tonight. seat 7C left portfolio. Need it back!!
2,@VirginAmerica @shrinerack Seattle bound. Wifey got me the duffle for vday. She's a keeper!!! Holla!!! http://t.co/JlOIbLnair
0,@VirginAmerica I requested a mileage challenge for status several weeks ago online but haven't heard back. How do I get help with this?
2,"@VirginAmerica Many Thanks for the Follow.
#ourprincess #freyasfund #USA #Bandie 
Looking for Any Help😍
💗🇬🇧💗🇺🇸💗
🎀🌏🎀 http://t.co/UJfS9Zi6kd"
2,@VirginAmerica is my new go to airline
1,"@VirginAmerica I adore you, and am so looking forward to my flight to Austin in two weeks."
0,@VirginAmerica I am deeply disappointed that your birthday promo was not applied to a trip I booked mere days before I received the email
1,@VirginAmerica of course! I work for @VirginAtlantic and I'm obsessed with the entire Virgin family!!
1,@VirginAmerica ok! first time flying with you tonight :)
2,"@VirginAmerica Done, but I need the receipt ASAP. Could you please help? #150219-000114"
0,"@VirginAmerica I have 2d and 3d embossed badges and patches superior to the ones you are currently using. 
http://t.co/3fq3XElbOn"
0,@VirginAmerica on flight VX399 headed to LA from JFK - dirtiest VA plane I have ever been on. Sad for a great airline.
1,@VirginAmerica got it squared away. Someone picked up as soon as I tweeted. Should have tweeted sooner. 😉
1,@VirginAmerica  Flight Booking Problems last second flight for next week from SFO- to SAN any chance you want to gift me a promo code since I love you guys
1,"@VirginAmerica For my Grandma Ella's 80th, she would &lt;3 a bday greeting from your flight crew! She was a stewardess for Eastern Airlines."
1,@VirginAmerica had me at their safety video . . . http://t.co/CqMm7nuE9m  LOVED my first cross country flight. #livewelltraveled #sytycd
2,@VirginAmerica Atlantic ploughs a lone furrow in the #MiddleEast http://t.co/FVUdmh27pF @TheNationalUAE
1,@VirginAmerica thank you
0,@VirginAmerica I am in seat 4C and I cannot even open my laptop
2,.@VirginAmerica If only you guys were starting those flights at the end of the month! Guess I’m still road tripping on Feb 27…
1,"@VirginAmerica thanks for that. Been needing a way to make those Austin trips from DCA, and now you've come through!"
2,@VirginAmerica you should have 39 dollar LAX-Las fares!!!
0,@VirginAmerica your website sucks donkey dicks. Just thought you should know. All best.
1,@VirginAmerica got it. All set - Thanks!
1,@VirginAmerica Giants and Virgin America. A match made in heaven.
0,@VirginAmerica Your back of seat entertainment system does not accept credit cards that  have an apostrophe in the surname. #apostrophefail
2,@VirginAmerica is helping me step up my @Tinder game! #TinderTips #tinderchamp http://t.co/jBmVVha63A
1,@VirginAmerica thank you! See y'all soon! I'm excited to see the expansion of destinations. Spread those wings!
2,"@VirginAmerica announces new nonstop connecting @AUStinAirport &amp; @DallasLoveField, $39 intro: http://t.co/qXnOaQtYN8 http://t.co/JK7qmdfqgf"
1,@VirginAmerica has the most INCREDIBLE customer service I've ever experienced! So refreshing!
2,"@VirginAmerica Now, when will we see VirginAmerica come to Philadelphia (PHL)."
1,@VirginAmerica OMG FINALLY
2,@VirginAmerica Nice to see you expanding in Texas but don't forget about us here in #SanDiego. I would love to see more flights out of here!
0,@VirginAmerica kinda sucked my earphone jack didn't work on my flight. They may want to look into that for future passengers
0,@VirginAmerica Very poor experience. First computer problem now seat malfunction. Stuck. Missing meeting in San Diego.
2,@VirginAmerica I miss the #nerdbird in San Jose
1,@VirginAmerica ​ is flying from Love to Austin now. That is most excellent news.
0,@VirginAmerica Had to spend 5 hours worrying that items in carryon would be broken/stolen since I couldn't carry them on plane or lock bag.
2,@VirginAmerica does Virgin America fly direct from Seattle to NYC or Boston?
1,@VirginAmerica now it's just t-minus 32 minutes until my Elevate a Silver upgrade window opens . #FreeNeverSucks 😃👍
2,@VirginAmerica save some for 871 tomorrow AM!
1,@VirginAmerica @JezzieGoldz would have been a rough trip but LUCKILY we were on a #virginamerica flight. #weather
2,@VirginAmerica Good point!
2,@VirginAmerica you got cheese pLate Flights too.
1,@VirginAmerica wifi AND better seating.
0,@VirginAmerica started my flight with a scolding for using an overhead bin that was then offered to the person seated next to me.
2,"@VirginAmerica Dear Virgin customer, while you're stranded in SF for 3 days &amp; $1000cost- we'll do the very least we can to accommodate you!"
1,@VirginAmerica really wish you'd fly out of #Fargo @fargoairport those fares are amazings
0,"@VirginAmerica mood lighting on point🙌 Reclining my seat, kickin up my feet💤"
2,@VirginAmerica Are there any sign up bonuses to enroll in Elevate?
1,@VirginAmerica Flying LAX to SFO and after looking at the awesome movie lineup I actually wish I was on a long haul.
0,@united Your ERI-ORD express connections are hugely popular .. now if only we could have an ERI-EWR hop! :)
1,@united thanks
1,@united Thanks. It is on the same ticket.
2,@united why not? Is it a law or a policy?
0,@united @CheerTymeDad So I can buy tix 3 days before flight but can't transfer the tix.  Flawed security logic. Flawed customer service
0,"@united I did start a claim but 8-10 weeks is unrealistic, am I really supposed to go that long with out a car seat for my child.Ridiculous!"
2,@united Just submitted my response on the link you sent.
2,"@united yes, David Allan send an email with this number (KMM24999563V99860L0KM) and case#8719519"
0,@united @highbuddyyy that totally sucks my cousin worked at PHL said @united
2,"@united Do I need to use a Chase United Club pass for my 8yr old son, or can he come in with me on my pass?"
2,@united I lost a voucher that I was given in Miami aeroport on jan 26. I did not use it.
0,@united I am trying to book awards for September and need flights on @aegeanairlines but they will not show even w/ many award seats availab
0,"@united yes please! I am newly married and trying to update my last name on a preexisting international flight! It seems so easy, but..."
0,@united How does United refuse to reissue a $400 lost voucher when their plane didn't take off due to mechanics? #badcustomerservice
0,"@united yes, we've been with the agents for the last 50 minutes. One of the agents have been very rude, but thankfully Ladan has been nice."
1,"@united - thanks for your help...got me what I need, but its an issue with @_austrian . I guess I sit awhile longer."
0,@united rude rude
0,@United  My bag is still in Colo Springs. I am disabled and have to search an unfamiliar airport and look for my bag. Not a good outcome
0,@united No. Denver said they don't handle baggage that made it to Colo. Springs.  They gave me an 800 number to call. No help there either.
2,@united 6533 ORD to DCA
0,"@united in addition, my first flight was delayed an hour and I'm arriving at my destination 8 hrs Late Flight."
0,@united our travel booked thru United group dept. Okc ticket agent less than willing to help with our connection in LAX.
0,"@united v upset with your disability  ""services"". When I told one of your employees I was carrying medical equipment she was very rude."
0,"@united as a 1k, I'm always hoping for improvement."
0,@united mobile apps need construction from the ground up for each OS category.  It's expensive to get right .
0,"@united why am I to believe they will help when customer service couldn't? Like I said, I want a number to someone who can fix what you did."
2,@united It was last night's 1235/ORD-LGA.
2,@united thank you !
2,@united dm these nuts
0,@United. What's going on with UA 236?  outbound flight last thurs was delayed 4hrs How long will this delay be? #worst2unitedflightsever
0,@united #worst2unitedflightsever UA1429 IAD to LAS 2/19 mechanical problems - switched aircraft delayed 3.5 hours!
0,@united crashed trying to check in.
0,@united Blackmailed me into paying £130 extra or having my return ticket nullified in San Francisco Airport. Terrible service from rep #scam
2,@united is there an email address I can reach? Too long for a DM.
0,@united ok it's now been 7 months waiting to hear from airline. I gave them quite a bit more than the 30 days requested! Terrible service
0,@united What's going on with your website? I'm Flight Booking Problems three tickets today and I've been booted off the system umpteen times.
2,"@united bet you wont honour them, like mine ey"
0,@united ours in July. You have ZERO excuses for this. You have an out-of-date system that causes problems like this.
0,@united Not sure what you are talking about. She is going on nonstop flights. SNA to SFO and then SFO to EWR.
0,".@united it will be because I'm moving to @AmericanAir because of @united talk, no service"
2,@united please be good to me this weekend!
0,"@united I asked a legitimate question about systemwide vs. localized problems, and got back an unreLate Flightd copy/paste. You can do better."
0,@united what time? Who can I call. I need my skis. I will go to the airport and get them. No more faith in United.
0,@united I see you guys are at it again. Amazing how one company continually makes mistakes yet fails to be held accountable for their error
0,@united I did DM the details but still no response. I have to book today.
2,@united can someone please explain the process of of what happens to property found on a plane after passengers leave at Heathrow ?
2,@united DM does not work what do I do?
2,@united Done and done
1,"@united thanks, just sent :)"
0,@united are the ones who make it difficult for me.
0,"@united This ALWAYS happens with you guys, and it makes traveling incredibly stressful and uncomfortable. Is that good business to you?"
0,@united So what does someone with severe anxiety do when the one person who can help him isn't next to him?
0,@united I'm seeking to go 2 client. B/c u cant get me there I need refund. I filled out form not confident it works if past is an indication
0,"@united ok. To top things off, you've lost my luggage. Could you get ANY worse??? #UnitedAirlines"
1,@united kudos for not Cancelled Flightling flights from DFW this morning.   United usually first to panic...
0,@united AND my luggage has been broken!! #youcouldntmakethis up #brokenwheel
2,@united is flight 587 from DFW to ORD currently on-time? I see an advisory that DFW may be affected by weather
0,"@united I hadn't filed a refund claim as I was told there was no charge by your DM. This is disputed by my bank, hence why I would like(1/2)"
0,@united did  bags make it on the flight out of iad? second day without clothes is pretty inconvenient. We're pretty curious #UnitedAirlines
2,@united Okay thank you
0,@united terminal at MIA should have food open before 5am esp when there are flights at 6am. Two hours early like recommended. Can't eat.
1,@united thank you. Been trying for two days to set this up.
0,@united LHR arrival lounge #fail. Waited 20 mins for shower then left to find hotel. U know how many passengers u carry. Planning???
2,@united Any luck with finalizing my reservation? I DM'd information to you. Please let me know what else you need. Want to confirm ASAP. Thx
0,@united completed form but doubt it's any use. UA doesn't care. 6 day vacation will now be 5. Sure UA won't feel responsibility for that...
1,@united thanx so much. You followed through and emailed me a $1000 ticket voucher. #unitedairlines they do care
1,"@united this will definitely be a trip to remember EWR-STI second of the season, first on seat 35A because it pays to be loyal!"
0,"@united nope, they told us it was time for them to go home and to sleep at the airport. Even though they assured us we would get a room..."
0,"@united frankly worse customer service ever. Problems will happen, how you deal defines a company. Never again United."
0,@united if I pay you $25 and $35 for my luggage to be delivered when I arrive. Why should I have to wait 3 additional days for its delivery?
0,@united Outbound 2 bags 70 lbs bags Returning home 1 bag 50 lbs. What is your logic? And WHY? Am I writing to a Machine? Human HELP required
2,@united This is NOT a local UNITED number for Malaysia   0011 800-55558000. What is your local United Airlines here in Kuala Lumpur ( KUL )?
2,@united I sent in my feedback.  Thank you.
1,@united we just flew with United from AUS (Austin Bergstrom) to Cancun Intl. Best flight ever! The 737's are not too big... Not too small!
0,@united Lost bag process is broken. Agent promised they'd call &amp
0,"@united good to know you will open the closed doors for ""premier passengers"" after safety briefings on delayed flights. #annoyed."
2,@united DM sent
1,"@united flight ua3576, gate b1. And tell ray I somehow made it on to the 736 flight out of IAH and didn't have to wait for the 917 one. :)"
0,@united Lost bags. Cancelled Flightled flights. Delhi call centers. Poor United staff spread thin and stressed. You name it.
1,@united you too!
0,@united seriously #fail on making strangers share a room
2,@united @luke_mcintosh68 nah you wouldn't
2,@united Our vacation's going to be ruined w/ 3 days of rain. : ( The change fee for 2 of us is nearly cost of original flight. Can you help?
0,@united we're still waiting to find out your rep is working hard - most upset about having to wait to tomorrow pm to get to mammoth
0,"@united for an early flt, I think a call is appropriate. Yes, reviewed and nada avail until next day. Expect full refund"
1,@united man I can't wait to book my ticket now! Thanks JP you're a life sabe
0,@united Well the bar is set low! You guys are really good at the apology game! What will change? When will u guys learn?
0,@United I have no way of making phones calls... Need to handle via Twitter/email/web. Thank you!
0,@united Your website deserves a new design. #html5 FTW!
0,@united agent helps the person in front of me.  Finishes up with them and then walks away.  The guy behind me is as shocked as I am.
0,"@united Why tell us flight is delayed, then tell us it's on time again with 20 min to spare? Don't say it's delayed unless you're sure!"
2,@united where is my flight voucher?
0,"@united Late Flight to Denver, Late Flight to Newark...let's not even get into the disaster that was checking bags. Unacceptable."
0,@united yes I filed a claim &amp
0,"@united Flight attendant never served me my beverage (tea), and not once checked up on me. What gives? #ua6076 #notcool"
0,@united @AmericanAir spent hundreds to rectify the situation and you guys go quiet
0,@united @AmericanAir so that's it? It just ends there? Come on! I traveled for literally an extra day and a half because of this!
0,"@united 5 gate changes, two delays.  Even the crew thinks the airline sucks"
0,@united I'm very frustrated and have wasted 2 days now due to your equipment failures.
0,"@united Soooo, it's been 15 days and you've offered no response. So I assume poor treatment by gate agents is the norm now?"
1,@united Terrific. Many thanks. Looking forward to being back on UA tomorrow. Had a great flight up to Vancouver.
0,@united  what is the real deal with the delay on flight UA 1032 from Denver to Vegas?
1,"@united despite shaky connections, looks like I'll get home tonight. Great job, @united - was touch and go for a while.."
2,@united My mom left her Kindle on flight 1544 today. Burgundy case with a light. Seat 27D. Did anyone find it?
0,@united here is the ticket # 0162424965446 please refund my unnecessary upgrade fee
1,@united thank you.
2,Decisions Decisions @MandarinJourney @united:  We'd love for you to try our service. We offer status match too. http://t.co/xbQqqbRgVF ^KP”
0,"@united He needs to get to home the 24th, they're telling him it'll be the 25th @ night. Is there compensation or anything that can be done?"
2,"@united @RenoAirport hi, when do direct flights from Houston to Reno begin?  Don't see any days in March?"
2,@united like continental's chicken feat fairs
0,@united Can you please follow for a Dm on a missing bag?
2,"@united to be clear on my luggage comment, I am referencing the photo attached. Flight 6232 to JAC http://t.co/PnBajfkmHG"
1,@united awesome I'll book my next Christmas vacatinn this December any other ways you want to devalue mileage plus.
0,@united well someone should tell that to the employees at the Denver baggage claim. Still no bag!!!!
0,@united diverted and missed our connecting flight. Was just told that my bag is on it's way to MSY. If you only had people that cared
0,@united  Stressed and rude agents. Overwhelmed by delyd flight LAS-DEN 1657. Yelling at several people. Not pretty. This is #friendlyskies??
0,"@united also, the mere fact that I have to go online to issue a statement vice calling and talking to some directly is one good example."
1,@united thank you. I flew into Newark from Vail/Eagle.
0,@United now what?!? http://t.co/5hpSqVRjK8 flight was gone when I got off plane! #BusinessTravel #goodenoughmother
0,@united So you are inadequate by accident?
0,@united boarding time shows 35 min and your gate agent started at 45. showed up at 4:00 and they had to check bag. http://t.co/zCBJyo6lsN
0,@united Agent in LAS letting 20 customers know they can't help them rebook delayed flight to DEN #unfriendlyskies http://t.co/QuzVmK2rTR
2,"@united did you have seen my message today?? About a mcdonnell Douglas dc 10 model?? I will hear it if you read it, Goodnight now"
0,"@united flight arrives 30 minutes early, but then have we to wait for an hour for our bags."
0,@united That's not the issue. The fact that no one even called (despite promises) to confirm the bag's location is.
0,"@united cs thinks that miles can repair the damage done, it will be interesting if they travel in @united and exp the worst flight ever!"
2,@united I have a 0530 flight out of DFW on Tuesday. How far in advance will you give notice if Cancelled Flightled?
0,"@SouthwestAir doesn't charge ticket change fees. Do they not incur the same mysterious ""costs"" that you incur, @united?"
0,@united I've never experienced worst customer service. Placing blame on codeshare partners and not assuming responsibility is unacceptable
0,@united currently on board so not now. Check in was terrible. Staff rude. Expensive luggage thrown around etc.
0,"@United fucked up, then voided my ticket, and KEPT MY MONEY.  Not even an apology. I will never fly with your airline again. #UnitedAirlines"
2,@united When will direct flights from Belfast Intl to Newark resume from their winter break? Thanks.
0,"@united rarely ceases to amaze...for the worse.  i hope this is the last time i ""have"" to fly with you."
2,"@united I need the phone number to baggage claim in LAX, my mom left her phone and someone called saying they would put it there but on"
2,"@United will not have to honor absurdly low mistake fares.
http://t.co/2Z3Jv73IlW vía @usatoday"
0,@united @dfpietra THAT'S your response?  Shaking my head back and forth with a tsk. You can do better-from customer service to your apology
2,"@united thanks! It's 35K miles from RTB to Europe, to do a multiple destination so we could stop over in US on way/way back- mileage diff?"
0,@united someone needs to DM me and resolve this correctly. Extremely disappointed with the service I received. Terrible management.
0,@united first time flying with United. Also last time. #terrible back to @VirginAtlantic for me. #branson #virginatlantic #UnitedAirlines
0,@United gate announcement states delay due to maintenance yet app says Late Flight arriving aircraft  tell the truth! @unfriendly
0,@united once united's service levels reaches those of Etihad or lets be more realistically Lufthansa then ill consider it again
0,@united really?  Someone called in sick and then someone FORGOT to call a replacement?!  Now an hour Late Flight to take off. #theworst
0,"@united During the same round trip, my NON-English speaking friend was stranded TWICE for 12+ hours each time! Most staff members were rude."
1,@united thank you
0,@united that guy really has no customer service clue.Could have spent effort clearing bins for rollerboards instead of art projects in mine!
1,@united Pleased to be a Premier Platinum
0,@united how can you not put my bag on plane to Seattle. Flight 1212. Waiting  in line to talk to someone about my bag. Status should matter.
0,@united Just checking in again - what is the status of our claim.   It is going on 2 months with no attention to this?   We are very upset.
0,@united Does customer care have email or a phone rep that I can speak with? We had so many issues they can't be placed in 2000 characters?
0,@United We've been waiting on tarmac for &gt
1,@united ok. I just submitted. Thanks for the opportunity to give feedback.
0,@united booked flights for 2 for $779. Was charged $389.50 twice. Means I can't redeem CC points properly. Would have gone elsewhere.
0,@united We've had a ton of problems with getting our bags and have been given the run around for a day. Whats up with that?
0,@united have been waiting 2 days for my military bags from an airport 3 hours away from me. Horrible.
0,@united is doing musicians real dirty at LAX. I've never been blocked from getting on a flight with my bass.
1,@united Ok thank again for your help!
0,@united Not a happy flyer.  UA flight 1161 from SFO to Cleveland.  Sunday 2/22.  Stay tuned for blog article from http://t.co/VdFdODqVGx
0,"@united Heads up We didn't check 8 bags, 2 we checked arrived, those aren't claim #s for our 2. Other people's bags? http://t.co/dplQ3mhQGD"
0,@united flight attendant doesn’t understand not understanding English doesn’t mean they are deaf. Stop yelling English slowly to them.
0,"@united Not appropriate to ask in public (hence the dm). each united employee, each a new answer. your process was such a hassle i Cancelled Flighted."
0,"@united nice your app says US 4972 delayed by weather.  Pilot says waiting on fuel.  One in ur control, one not"
1,@united Please than Robin at EWR Premiere Desk for helping me get on a an earlier flight. She did the work.  Huge thanks.
0,@united Nope - still no one helped me.  Giving up on united. #badservice
0,@united 45+ min at EWR baggage claim #stillnobags #ridiculous
2,But I don't see AA @united
0,"@united On a standby to Denver, which has been delayed, and a confirmed to Aspen, whose flights have been Cancelled Flighted all day. 0 confidence."
0,@united at what pt do u just Cancelled Flight!  Finally got stndby 4 1pm flight. What a day!  #missedWork #clientNotHappy http://t.co/sUPrLfOi8T
1,@united thank YOU for your kindness. Your agents went above &amp
0,@united don't see a justifiable cost to get on an early flight with seats. No airline charges to conveniently get their passengers in early
0,"@united I will do delayed baggage claim when I land. Hopefully the bag isn't broken into, damaged or lost w/c will result in more complaints"
0,"@United the ones who suffer. I understand delays, I don't understand trying speed up a process that has been delays to this extent."
0,@united Would be helpful if you could refresh boarding time info on boarding passes for delayed flights
0,"@united  18 flights so far this year. 13 delays including 2 Cancelled Flightations.  Late Flightst reason, crew needed mandatory sleep. IN MEXICO!"
0,"@united it was UA381 on 14 Feb. Point is, overselling flights= bad. Making people wait 1hr while you kick them off after boarding is worse"
