airline_sentiment,text
2,i need a receipt for a flight change can you send one
0, i submitted a status match request a while back and still havent heard im flying on monday can you look  accelerate
1,that doesnt look to fat to me it looks yummy
2,"ceo says amp have strayed from low cost model
"
2,a brilliant brisk am in boston in cue for vx 
2,atlantic ploughs a lone furrow in the  
2,atlantic ploughs a lone furrow in the  
1,omg omg nonstop dallas to austin on virgin
1,your planes are really pretty just thought u should know that 
2,when are you flying to hawaii
0,im pulling my hair out trying to book a flight with u your site doesnt work on iphone or ipaddont have a computer 
0,can i get some help with a support ticket its been  days incident  thank you
1,good to be home 
0,i cannot even open my laptop in seat c and i paid a premium for this   let me out of here
2,"announced new route to austin wfares from way 
"
2,really sprint i thought you guys were kewl _
1,this is too cool  never been on ur planes but now i will
1,great well deserved
0,fyi the infocom email address you say to contact in password reset emails doesnt exist emails bounce
0,status match   weeks have gone by and no newsflt next week  hope flt will count towards requirement  cust svc no help
2,you should still develop an app  then you will be my favorite airline
0,all crap channels which is why i pay to watch uk tv
2,no as channel this year
2,only thing i see on passbook is virgin mobile mexico how do i integrate
1,thank goodness also see you friday nwkgtsf boom
0,how come you dont have an iphone app still using and making me waste paper
0,when will vx use all  lga slots instead of  today adding aus makes this less likely 
1,i luv ur people and product  thing is y do u charge for herbal tea but not black tea im not a caffeine drinker
2,adds austindallas love field route  
0,sad to learn you no longer fly sfo gt
2, can you tweet me the cancelled flightchng fee for a flight or can i rebook under one of your affiliates if so who are afiliates
1, am i dreaming did you really just open up a route between dallas and austin and does this mean houston might be next
2,to start xweekly flights from to on apr 
2,"to battle on route 
 via "
1,the dalaus route makes my day
1,awesome deals dalaus for only  each way 
1,love it taking on in their backyard consumers win when biz competes
2,can we make every vx plane with  why should austin be the only one getting nerd love
2,please add more frequency to pdx portland
1,congrats vx on the new route 
0,i tried that you offered to charge me an additional k for a new ticket or be stranded until thurs st time last time
2,can u help with flights to get a y old battling cancer who needs treatment in    
0,never had a bad experience before but this one took the cake now extortion for carry on items as well
0,all of group e was told there was no more room in the bins when i got on the plane was room for at least  bags in my row
0,thanks for making my flight from lax to jfk a nightmare by forcing me to check my carry on bag at the gate 
0,i have lots of flights to book and your site it not working ive been on the phone waiting for over  minutes
1,i am all about the in flight artisanal cheese and wine pairing
1,thats classy
1,im sure a lot of your  and  jfklhr flights go a lot faster than mph with a strong tailwind
0,why is it taking  years to fly home to dallas get your shit together
2,club virgin is bumping in new york 
2,is that 
2,please come to minneapolis st paul
2,yes fyi  my bff
1,another perfect flight   how come on your planes  the sun visors can stay down  other carriers make you raise them
1,nice rt  the man of steel might be faster but we have wifi  just saying 
1,i love the dancing little richard cool beans
1,i dont use passbook  i still love you though lt
1,thanks for the free birthday points yall are all right with me
2,do you have an application for ios was looking and only saw virgin mexico  lt
0,man of steel flies to more cities thoughand with more frequency too
1,thanks so much for sharing just added it to my site 
2,i heard he has a virgin mobile hotspot 
2,on all your flights
1,dad on segway is the best part of this whole infographic
1,are there any plans for a short haul airline in europe would defiantly fly with you guys 
2,how come abc is the only one of the network channels you dont have
1,not only was it great but you return my calls the day after couldnt ask for more 
0,while other airlines werent cancelled flighting flights into bos and helping their customers get home virgin was saying good luck
2,should use this in their next airline commercial lol  
0,grouping virgin in with the others now bos weather has exposed their actual cus serv model never flight booking problems with virgin again
0,as one of the travelers affected by the boston storm im shocked at virgins complete apathy toward their customers
0,umm so no reason as to why this is is there someone different i should contact or contact me to get a definitive answer
0,trying to make the change in advance not just  hours priortried it online earlier and it wanted  in change fees
1,so loyal that im driving to from  to fly virgin  since you cut flights 
2,any way to change from main cabin to main cabin select on same flight without paying a change fee penalty
1,you guys are perfect as always lt
1,thanks yall have some of the best customer service left in the industry
2,can you give me silver status for  months
0,my flight  scheduled for pm departure still says on time but no plane at gate any update on how long of a delay
0,my group got their cancelled flightlation fees waived but i cant because my ticket is booked for  your reps were no help either 
1,just got on the pm in newark home to la your folks at ewr are incredible 
2,morning if i have a question regarding elevate points amp
2,still waiting to see   
2,was wondering if you guys recieved my dm and were able to potentially respond asap
2, book out of town with fares from way restr   
1,thanks
1,thanks for taking care of that mr happy customer
0,still no refund or word via dm please resolve this issue as your cancelled flightled flight was useless to my assistants trip
0,delayed due to lack of crew and now delayed again because theres a long line for deicing still need to improve service 
1,thanks  we filled it out hows our luck with this is it common
2,even on international flight glasgow to the us then what about orlando to newark all  mins
0,you think you boarded flight au too early i think so
2,i understand but its tough when there is no way to get to the airport wo serious risk of an accident its a steep price
0,gate agent hooked me up with alternate flights if you have a way to prevent the constant issues that would rock
2,flying glamco in a few weeks how long do we have to be at airport for before departure for both international and domestic ta
0,is the worst nonrefundable first class tickets oh because when you select globalfc their system auto selects economy wupgrade
1,follow me please this airline is beautifull 
2,no i dont but im sure united have my info on its system
0,if the car seat is lost should just reimburse me for a new one this is not a pair of shoes its a necessity for my child
1,just wanted to let you know how wonderful rosetta the gate agent was working flight  dan to ase let her know she wasappreciated
2,yes a paper voucher that i got on january th 
0,beginning of feb i called united they said they would send another voucher by mail never got anything 
0,the internet is a great thing  i am emailing executives in your company maybe they will respond to me in a timely manner
2,and what am i suppose to do with that number
0,"thats weak see ya 
hey "
0,i flew back w other company since united didnt have an earlier flight
0,i sure did   i had to drive a total of  hours to get my own bag  id like to explain that debacle but no one wants to talk to me
2,gee thats like almost caring about ppl more than   think im more int in having a trusted adult w daughter 
0,see we were told repeatedly that the pilot was late flight and kept getting late flightr  after we boarded there was a defibrillator issue
0,why no preferred security line anymore my tsa precheck didnt pull on my partner flight 
0,airport need to indicate different gates for terminals aamp
0,also during the run i was instructed to do i shattered my computer 
2,thats right with an overnight miami
2,have clients with an  hr layover at iah during the day will they have to claim amp
2,i am trying to find out if the loaner seat is new or used a used car seat is illegal according to safety regulations
2,i dmed you the details
0,iah to charlotte baggage claim rep latrice h non existent ignored customer then inappropriately touched customer
2,kewl will also let them know the overhead bin over my row was inop i love a good abbreve
0, i would have loved to respond to your website until i saw the really long form in business the new seats are bad
0,a refund and flight vouchers or another flight on a different airline at your expense for today  hour drive is very inconvenient
0,then why have i not received my call back its been  daysits an infant car seat how am i supposed to go anywhere with my child
2,thanks again for your concern i will contact customer care upon our return from australia
0,well sitting on the ground on time but waiting for a gateagain 
1,"airport snow removal method 
keep up the good work folks this is where cessnas become s "
0,no i need you guys to not over book planes its not a concern ill just travel with someone else moving forward
0,a measly  ecertificate is not how you appreciate loyal customers after they wait hrs on the tarmac during ua 
0,when will email addressusername signon be available its been a while
1,thank you for that am i able to claim any interim expenses or is the cost of the stuff up on me
0, why cant i get a boarding pass for my austrian airlines codeshare flight rebook incls a  hour layover amp
0, i received on other flights  truly breaks guitars 
0,just flew to paid  from a third suitcase which didnt even make it on the plane besides for the impolite service
0,shame that theres no flex to tickets transfer rules  even calling from neurosurgery icu isnt enough
0,you guys need some serious training in customer service too many better options to put up with the way you guys handle ur mistakes
0,once he found out we had a problem he avoided me like the plague was told we cant find a supervisor
0,zccu cancelled flight flight h in advance need connect flight reschedule so the link isnt helping help gf waited months to see me
0,i will not be flying you again
2,cancelled flighted our flight didnt rebook us on added flight now have to drive from a denver to kcthanks
2,your announcement for pre boarding only addresses mobility my disability requires me to travel with a lot of stuff do i preboard
1,i flew united last month and the experience was awesome
0,thnx for quick reply but dont think you can assist our intl grp will be put to considerable inconvenience today
0,wont transfer flight ticket to accompany an  yr old whos active military mom had to have emergency brain surgery wow
0, weeks late flightr and i still have not received my miles from the mileageplus gift card  starbucks card i handed over
0,not yet i complained about the guy who checked my luggage in as he was throwing the bags around unfortunate coincidence i hope
0,okc ticket agent roger mclarrensp less than helpful with our intl group travel problems cant find a supervisor for help
0,another fail for the united ticket agents in okc less than helpful and could care less about our problems american here we come
1, which also had  working wc in coach good thing this bird landed ahead of schedule i have to use the wc stat
2,the os isnt controlled by me but rather   app is new
0,i just sent an email to customer care telling them i may have to break up with you  i sincerely hope they can help me
0,silly im flying delta today your united club staff and attendants are surly and unhelpful and always seem bothered by pesky folk
0,what is your phone number i cant find who to call about a flight reservation
0,well you cant fix me missing my buddies th bday because of negligence but you can attempt to make up for it
0,they helped me at the baggage service desk  said bc tsa screening was down in fll not all bags made it but bag will be in ewr  
0,mobile boarding pass disappeared from phone while standing in line to board second time this week hmm
1,for the record rozana at newark was lovely and helpful 
1,thx for update
0,had to explain to a very over eager flight attendant trying to ask about my vision that my was not a guide dog
0,whats the point of asking for details about a when you book if your flight crew doesnt read them continued
0,i tried but no one was available in bogota and everyone was rude in houston i was stuck for  hours because of you guys
0,ua  las to iad  mechanical problems again  took off  had to land for fix  delayed again 
1,despite my bag not making it to newark good informative email tracking updates help
1,wow what a deal again  plus seats available easy change to make a customer happy
2,thanks for the info i already knew
2,airline trouble this winter amp
0,on  to logan  boarding gong show due to lax carry on enforcement bins full of coats  no room for bags u need a better system
2,thank you
0,disappointed that u didnt honor my  credit given to me for ur mistakes taking my business elsewhere  out
0,ua still waiting supposed to depart 
0,it was credit from my last trip that never came in the mail
0,does this process ever end still waiting for the reply since  months 
0,how do i get my account number if your website says email is unavailable
2,so do i need to book two one ways in order for her to fly as an unaccompanied minor
0,i received  bag last night i am still missing the other one
0,youll need to upgrade the seats too even in economy plus its like sitting on a concrete bench
2,pls help baby hannah get the life saving surgeries she requiresshe needs your helppls donatert 
0,nd flight also delayed no pilots but they boarded is so we can just sit here 
2,i guess thats too much ask huh
0,but its hard to stay upset at someone when they at least try to show remorse
0,by the way a simple apology goes a long way even if its a hollow one its obvious that you dont care about me or my wellbeing
0,this isnt a one time thing either its a shocking pattern of repeated neglect and disrespect
0,fingers crossed amp
0,its an incredibly easy fix but you would rather stay in your comfort zone while i get forced out of mine
0,everyone around us is sitting with their friends and family members they booked their tickets in october and december we bought
2,a tourist wonder super tides and tide of the century at french and uk coasts 
0,yeah sorry but theres always a problem with united and you have an international reputation for having problems
2,yall should probably work on that
0,but then again maybe the would care more to hear what went on than whoever listens to issues you caused
0,i wonder if sharing all this on fb and insta would produce a number  characters really limits my story telling
0,so youre telling me there is no number to call after being left in an airport because of a negligent pilot and staff
0,could this email be resent as it doesnt appear to have arrived
2,yes please trying to get to pop in newark now
0,you have to follow me in order for me to dmcome on now
0, united coupon to make up for broken entertainment system on a hour flight seriously 
0,so they didnt drop my bag overnight amp
2,i know this is probably a no but is there a way to get a cheaper airfare ticket if the flight is leaving in a few hours 
0,not able to dm you my confirmation number
0,ive sent the message let me know if you got it im not very twitterliterate also is he really going to be stuck for hrs
0,very unhappy at no response to complaint emailed on nd feb ref awful customer service
1,private jet would have been cool do does not work ill try again
0,we were not given the option of using our united travelbank in a recent flight booking problems any help in using or recouping these funds thanks
0,common keep your paper work ready and dont delay our flightsand meetings 
2,how about  yulord
0,yep thats correct i got an email at  am that the flight was cancelled flightled doesnt matter now flight into atl is delayed thx
0,k and had problem getting out of fll to iah  sent dm to you about making my connection  please let me know
0,im grounded in montreal with ua i am missing my connection ua to st louis can you helpdo you have a private jet for me
0,im so frustrated and nervous because of this
0,im not a child im someone who has an issue with flying and prepares ahead of time to reduce the distress caused by planes you
0,how does it get cancelled flightled  hours before take off
2,thnx for the response bot it seems this improvement could be easily attained is your st class service really only worth 
1,has unrivalled access to with flights to the us from  uk airports with nonstop or onestop connections yearround
2,booked award tix on thaiairways but im not seeing a conf for them just the united flight booking problems can you get get the thai for me
0,luckily i made my flights this time but was so disappointed with the lack of communication 
0,checking to see why flight  atlord got cancelled flighted
0,service so far has been horrid we wanted to end the trip on a high note guess thats not an option
0,booked a flight home over  months ago and requested seats together for my fiancée and i we got  middle seats unacceptable the
0,you guys are horrible
1,thnx for the info
0,why do i have to pay   for wifi with an international business ticket  
0,maybe one day youll be the one quoted on 
0,flight delayedno one remembered to turn the heat on flight  leaving ordseriously
1,another awesome new plane flight  and extremely nice captain steve connolly
0,to speak to a real person to get this resolved politely and efficiently 
1,every united flight between saipan and guam is an adventure you never know when s old plane will be operational 
0,hence why ive been asking for the customer service phone number so i can speak to a real person to get this sorted out
0,did our bags leave washington yet that would be convenient seeing as we left there a day ago 
2,so if im flying st class just one leg to chicago but not on my long flight to china am i still able to use the lounge in chicago
0,according to your dms im not owed a refund please may i be provided with a contact number before i go to my bank to file claim
0,about  hours ago i need to work out if my bag can make it to my hotel here in time or if it will need to go elsewhere
2,ive filed the claim but have no way of calling for updates is there another way to do this
0,pls properly train your agents requested to speak to k customer service amp
0,thanks for remembering to load my bag onto my connecting flight oh wait you forgot iceland should be fun with no clothes
1,thank you for the cheese platter and abundance of entertainment options time just flew by
0,customer service is atrocious you have disrupted my travel plans you have lost my luggage and it is impossible to talk to a human
0,it was ua flight  now im currently stuck in portland because i missed my ride because of the  hour delay 
0,has not responded to my various requests for contact numbers does anyone know the uk customer service number for 
0,how we looking on getting those bags to lusaka
0,could you update me on the suitcase please the online and phone tracking told me nothing i was told id have it back yesterday
0,just  last thing u guys shouldnt be charging  for drinks on a transatlantic flight
1,definitely a compliment i really thought my bag was lost after it was sent on to another airport in the end i am a happy customer
2,keep me updated let me know that the bags make the flight to jburg
0,back for the expensive holiday he worked all year to pay for that you ruined we want compensation amp his original case back
0,thanks united i understand that but he would actually like his own bag back what have you done with it he also wants the money
0,its still a valid flight just seems strange to delay for late flight inbound crew   hours from now when the plane is already here
0,thanks for the lack of help and the canned response from the k desk
0,  its too bad ua has had another unforeseeable operational issue on my return flight
2,i would like to know whats going on before his current flight lands
0,so  hotels for  people but feel like we are being held hostage because someone has our boarding passes so we cant leave 
1,you are one great airline 
0,  we dont like to hear you had a poor experience please share details wour customer care team 
0,no cancelled flightn just left us to fend for ourselves when flt came in late flight getting runaround for  hrs each employee blaming  previous 
0,okay asem find our luggage
0,the agent that met us at the gate said any issues wdelays on ua would have to be taken up online
2,i send you an urgent message via eservicecom  bgkwm   narayanan please respond asap also no local united tel   kul
2,thanks will you guys be getting the as anytime soon
0,but they are not lady one phone says its in tel aviv tel aviv united says its in newark no one knows and i have nothing
1, well see what we can do kn we are running most of this plane is running thanks for the help
0,yes but still now answers many have not had their luggage for  days unacceptable
0,what is that going to do for you nothing just like you always do
0,plus what about food and taxis
0,you are offering us  rooms for  people 
0, people getting pretty tired about no action on solving the problem plus missing a day of vacation and skiing
0,the bright side would be keeping the promise that was made to me hope youre having a good night thanks
2,yes i do
0,i take back the comment about your team here working hard to help us a so far no solution for a hotel or food or anything 
0,on  arriving two hours late flight into clt now sitting on the tarmac while they move a plane from the gate unhappy customer
0,airlines is the absolute worst they have no idea what they are doing 
0,thanks might want to fix this line our customer care team is currently responding to most inquiries within  business days
0,its frustrating as a frequent flyer loyal since continental upgrade equals paying  times or more on top of purchase ticket
2,deep vein thrombosis
0,at its worse cant figure how to pack plane screws up connectns then claims no hotl rooms in san fran for stranded pax way to go
0, passengers after a  hour delayed flight left with no hotel at the end of the night  hou airport wtf 
0,hey why does the flight from iah to pos leave so late flight and the one back to iah so early i rather get to pos earlier
0,the people at the counter have been very helpful as you can see nobody is there flight to austin  and still sitting here
2,unfortunately still on the tarmac at and definitely missing my ride from 
0, we regret to hear this please let us know if you need assistance kn i was finally able to secure my seat thx
2,what time does check in open for flight no ua from manchester to newark today 
0,yea get me to phoenix already delays all day with you people its bullshit
0,if its any consolation your staff was stellar just not the hour delays i encountered with every one of my  flights
0,thats unfortunate the was an xmas gift and it looks like a razor ripped right through the front pocket in the picture
1,but thanks for asking
0,yes doesnt make that mistake any less absurd doesnt change the fact that im very inconveniently missing my luggage tonight
0,im constantly having challenges with upgrades amp
0,in ord waited  min after crew members left before gate items came flight attendant sarcastically said good luck and walked away
2,follow me back please and ill happily dm you the link because id rather not share my travel plans publicly
1,is my favorite airline
0,we needed them here asap will they make it on todays flight
